freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.959e+01,3.716e+02,3.821e+02,7.933e+02
1.6,3.968e+01,2.295e+02,2.541e+02,5.233e+02
3.2,2.182e+01,4.129e+01,5.859e+01,1.217e+02
4.8,2.247e+01,4.411e+02,5.875e+01,5.223e+02
6.4,2.396e+01,1.428e+03,6.109e+01,1.514e+03
8.0,2.589e+01,2.412e+03,6.011e+01,2.498e+03
9.6,2.830e+01,3.548e+03,5.844e+01,3.635e+03
11.1,3.162e+01,4.831e+03,7.081e+01,4.933e+03
12.7,3.153e+01,6.554e+03,8.820e+01,6.674e+03
14.3,3.409e+01,8.825e+03,1.172e+02,8.976e+03
15.9,5.435e+01,1.199e+04,2.097e+02,1.225e+04
17.5,7.831e+01,1.578e+04,3.581e+02,1.622e+04
19.1,1.115e+02,2.051e+04,5.548e+02,2.117e+04
20.7,1.544e+02,2.716e+04,1.040e+03,2.836e+04
22.3,2.836e+02,3.659e+04,2.103e+03,3.898e+04
23.9,7.569e+02,4.953e+04,4.027e+03,5.431e+04
25.5,1.996e+03,6.599e+04,6.617e+03,7.460e+04
27.1,3.534e+03,8.629e+04,1.143e+04,1.013e+05
28.7,4.500e+03,9.557e+04,1.560e+04,1.157e+05
30.2,5.285e+03,1.032e+05,1.902e+04,1.275e+05
31.8,5.964e+03,1.236e+05,2.516e+04,1.547e+05
33.4,6.872e+03,1.661e+05,3.896e+04,2.120e+05
35.0,8.922e+03,2.763e+05,8.918e+04,3.744e+05
36.6,1.504e+04,5.921e+05,2.648e+05,8.720e+05
38.2,3.397e+04,1.053e+06,6.572e+05,1.745e+06
39.8,4.343e+04,9.333e+05,9.671e+05,1.944e+06
41.4,3.586e+04,4.645e+05,9.717e+05,1.472e+06
43.0,5.064e+04,2.045e+05,7.405e+05,9.956e+05
44.6,7.078e+04,1.069e+05,5.613e+05,7.389e+05
46.2,8.226e+04,6.387e+04,4.826e+05,6.287e+05
47.8,1.034e+05,3.281e+04,4.257e+05,5.620e+05
49.4,1.210e+05,1.579e+04,3.758e+05,5.126e+05
50.9,8.698e+04,4.524e+04,4.157e+05,5.479e+05
52.5,5.166e+04,7.761e+04,4.381e+05,5.673e+05
54.1,3.262e+04,7.776e+04,3.758e+05,4.861e+05
55.7,2.165e+04,7.579e+04,3.282e+05,4.256e+05
57.3,1.627e+04,7.200e+04,2.975e+05,3.858e+05
58.9,1.335e+04,6.713e+04,2.695e+05,3.500e+05
60.5,8.431e+03,5.779e+04,2.085e+05,2.747e+05
62.1,4.480e+03,4.454e+04,1.438e+05,1.928e+05
63.7,2.735e+03,3.214e+04,1.016e+05,1.364e+05
65.3,3.175e+03,2.401e+04,7.796e+04,1.051e+05
66.9,6.916e+03,2.627e+04,7.314e+04,1.063e+05
68.5,1.318e+04,4.939e+04,9.159e+04,1.542e+05
70.0,1.966e+04,1.016e+05,1.382e+05,2.594e+05
71.6,2.212e+04,1.486e+05,1.746e+05,3.453e+05
73.2,1.976e+04,1.520e+05,1.624e+05,3.342e+05
74.8,1.537e+04,1.330e+05,1.343e+05,2.827e+05
76.4,1.157e+04,1.114e+05,1.106e+05,2.336e+05
78.0,1.198e+04,9.258e+04,9.136e+04,1.959e+05
79.6,1.883e+04,7.982e+04,7.622e+04,1.749e+05
81.2,1.717e+04,6.726e+04,6.349e+04,1.479e+05
82.8,1.744e+04,5.837e+04,5.386e+04,1.297e+05
84.4,1.112e+04,5.000e+04,4.640e+04,1.075e+05
86.0,7.553e+03,4.320e+04,3.971e+04,9.046e+04
87.6,6.669e+03,3.780e+04,3.413e+04,7.859e+04
89.2,6.667e+03,3.310e+04,2.970e+04,6.946e+04
90.7,6.730e+03,2.948e+04,2.649e+04,6.270e+04
92.3,5.756e+03,2.747e+04,2.449e+04,5.772e+04
93.9,4.713e+03,2.736e+04,2.435e+04,5.642e+04
95.5,3.964e+03,2.766e+04,2.631e+04,5.793e+04
97.1,3.245e+03,2.635e+04,2.800e+04,5.760e+04
98.7,2.283e+03,2.320e+04,2.537e+04,5.085e+04
100.3,1.982e+03,1.964e+04,2.060e+04,4.222e+04
101.9,1.853e+03,1.726e+04,1.755e+04,3.666e+04
103.5,2.010e+03,1.581e+04,1.765e+04,3.547e+04
105.1,2.030e+03,1.438e+04,1.829e+04,3.471e+04
106.7,2.123e+03,1.312e+04,1.855e+04,3.380e+04
108.3,2.445e+03,1.188e+04,1.963e+04,3.395e+04
109.8,2.828e+03,1.085e+04,2.319e+04,3.687e+04
111.4,3.075e+03,1.009e+04,3.028e+04,4.344e+04
113.0,3.679e+03,9.816e+03,3.981e+04,5.331e+04
114.6,4.590e+03,9.942e+03,4.593e+04,6.046e+04
116.2,4.887e+03,9.473e+03,4.237e+04,5.673e+04
117.8,4.948e+03,8.748e+03,2.975e+04,4.344e+04
119.4,4.608e+03,7.458e+03,1.774e+04,2.980e+04
121.0,2.801e+03,5.571e+03,1.368e+04,2.205e+04
122.6,1.715e+03,4.555e+03,1.178e+04,1.805e+04
124.2,1.709e+03,4.324e+03,9.943e+03,1.598e+04
125.8,1.928e+03,4.175e+03,7.045e+03,1.315e+04
127.4,2.157e+03,4.032e+03,5.233e+03,1.142e+04
129.0,2.357e+03,3.893e+03,4.266e+03,1.052e+04
130.5,2.435e+03,3.848e+03,3.722e+03,1.001e+04
132.1,2.413e+03,3.209e+03,3.301e+03,8.924e+03
133.7,2.939e+03,1.185e+03,2.986e+03,7.110e+03
135.3,3.292e+03,5.930e+02,2.906e+03,6.790e+03
136.9,2.183e+03,5.633e+02,2.770e+03,5.516e+03
138.5,1.869e+03,5.985e+02,2.623e+03,5.091e+03
140.1,1.874e+03,7.017e+02,2.463e+03,5.038e+03
141.7,1.992e+03,7.766e+02,2.153e+03,4.922e+03
143.3,2.165e+03,8.902e+02,1.720e+03,4.775e+03
144.9,1.976e+03,8.559e+02,1.362e+03,4.194e+03
146.5,1.868e+03,7.224e+02,1.302e+03,3.892e+03
148.1,2.166e+03,8.947e+02,1.446e+03,4.507e+03
149.6,2.813e+03,1.067e+03,1.800e+03,5.681e+03
151.2,1.922e+03,6.225e+02,1.864e+03,4.409e+03
152.8,3.208e+02,1.281e+02,7.379e+02,1.187e+03
154.4,8.908e+01,9.310e+01,6.552e+02,8.374e+02
156.0,7.534e+01,8.384e+01,6.850e+02,8.441e+02
157.6,7.481e+01,8.846e+01,8.055e+02,9.688e+02
159.2,7.846e+01,8.975e+01,9.206e+02,1.089e+03
160.8,1.028e+02,9.336e+01,1.180e+03,1.376e+03
162.4,2.148e+02,8.516e+01,1.025e+03,1.325e+03
164.0,5.602e+02,8.430e+01,1.114e+03,1.759e+03
165.6,8.266e+02,8.787e+01,1.268e+03,2.183e+03
167.2,8.011e+02,9.435e+01,1.009e+03,1.905e+03
168.8,7.518e+02,8.913e+01,8.574e+02,1.698e+03
170.3,8.249e+02,8.741e+01,7.717e+02,1.684e+03
171.9,9.936e+02,8.566e+01,8.279e+02,1.907e+03
173.5,1.291e+03,8.437e+01,9.454e+02,2.320e+03
175.1,1.684e+03,8.843e+01,1.147e+03,2.919e+03
176.7,2.154e+03,8.728e+01,1.353e+03,3.594e+03
178.3,2.891e+03,9.606e+01,1.728e+03,4.714e+03
179.9,4.213e+03,9.623e+01,2.273e+03,6.583e+03
181.5,5.842e+03,1.089e+02,2.893e+03,8.844e+03
183.1,6.760e+03,1.140e+02,3.246e+03,1.012e+04
184.7,7.268e+03,1.264e+02,3.344e+03,1.074e+04
186.3,7.647e+03,1.471e+02,3.199e+03,1.099e+04
187.9,7.631e+03,1.469e+02,2.764e+03,1.054e+04
189.4,6.714e+03,1.767e+02,2.034e+03,8.924e+03
191.0,5.679e+03,2.440e+02,1.488e+03,7.411e+03
192.6,4.261e+03,2.720e+02,9.359e+02,5.469e+03
194.2,3.343e+03,3.063e+02,6.277e+02,4.277e+03
195.8,1.995e+03,2.685e+02,4.113e+02,2.675e+03
197.4,1.526e+03,2.572e+02,3.206e+02,2.104e+03
199.0,1.258e+03,2.062e+02,2.611e+02,1.726e+03
