freq,psd_x,psd_y,psd_z,psd_xyz
183.2,7.009e+03,1.840e+02,6.077e+02,7.801e+03
184.8,8.010e+03,1.880e+02,8.122e+02,9.010e+03
186.4,7.580e+03,2.176e+02,1.101e+03,8.899e+03
188.0,6.967e+03,2.479e+02,1.450e+03,8.666e+03
189.6,5.669e+03,2.612e+02,1.610e+03,7.540e+03
191.2,4.293e+03,2.857e+02,1.629e+03,6.207e+03
192.8,3.845e+03,2.955e+02,1.739e+03,5.880e+03
194.4,2.888e+03,2.333e+02,1.523e+03,4.644e+03
196.0,1.690e+03,1.890e+02,1.091e+03,2.970e+03
197.6,4.798e+02,1.216e+02,3.901e+02,9.915e+02
199.1,2.239e+02,9.832e+01,2.189e+02,5.411e+02
